[2024-11-20 16:13:24,788: INFO: config: PyTorch version 2.5.1 available.]
[2024-11-20 16:40:54,270: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-20 16:40:54,275: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 16:40:54,276: INFO: common: created directory at: artifacts]
[2024-11-20 16:40:54,277: INFO: common: created directory at: artifacts/model_evaluation]
[2024-11-20 16:41:57,364: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-20 16:41:57,366: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 16:41:57,367: INFO: common: created directory at: artifacts]
[2024-11-20 16:41:57,368: INFO: common: created directory at: artifacts/model_evaluation]
[2024-11-20 16:44:20,094: INFO: rouge_scorer: Using default tokenizer.]
[2024-11-20 17:03:39,599: INFO: config: PyTorch version 2.5.1 available.]
[2024-11-20 17:03:40,048: INFO: main: stage Data Ingestion stage initiated]
[2024-11-20 17:03:40,050: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-20 17:03:40,051: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:03:40,051: INFO: common: created directory at: artifacts]
[2024-11-20 17:03:40,051: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 17:03:40,051: INFO: data_ingestion: File already exists]
[2024-11-20 17:03:40,130: INFO: main: Stage Data Ingestion stage completed]
[2024-11-20 17:03:40,130: INFO: main: stage Data Transformation stage initiated]
[2024-11-20 17:03:40,132: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-20 17:03:40,132: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:03:40,133: INFO: common: created directory at: artifacts]
[2024-11-20 17:03:40,133: INFO: common: created directory at: artifacts/data_transformation]
[2024-11-20 17:03:41,288: INFO: main: Stage Data Transformation stage completed]
[2024-11-20 17:03:41,288: INFO: main: stage Model Trainer stage initiated]
[2024-11-20 17:03:41,290: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-20 17:03:41,290: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:03:41,291: INFO: common: created directory at: artifacts]
[2024-11-20 17:03:41,291: INFO: common: created directory at: artifacts/model_trainer]
[2024-11-20 17:21:37,752: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-20 17:21:37,754: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:21:37,755: INFO: common: created directory at: artifacts]
[2024-11-20 17:21:37,755: INFO: common: created directory at: artifacts/model_evaluation]
[2024-11-20 17:23:04,032: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-20 17:23:04,035: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:23:04,035: INFO: common: created directory at: artifacts]
[2024-11-20 17:23:04,035: INFO: common: created directory at: artifacts/model_evaluation]
